perturbation,f1_macro,recall_macro,critical_recall,delta_f1_macro,delta_recall_macro,delta_critical_recall
clean,0.7409504176926592,0.7378552917263496,0.6816062176165802,0.0,0.0,0.0
typos_light,0.7000890217686804,0.6973421258494571,0.6183074265975821,-0.04086139592397886,-0.040513165876892465,-0.06329879101899816
typos_heavy,0.5934849758152814,0.5953348535264273,0.5124352331606218,-0.14746544187737787,-0.14252043819992222,-0.16917098445595846
uppercase,0.7409504176926592,0.7378552917263496,0.6816062176165802,0.0,0.0,0.0
lowercase,0.7409504176926592,0.7378552917263496,0.6816062176165802,0.0,0.0,0.0
random_case,0.7409504176926592,0.7378552917263496,0.6816062176165802,0.0,0.0,0.0
