model,f1_macro_mean,recall_macro_mean,critical_recall_mean,f1_macro_std,recall_macro_std,critical_recall_std,robust_score,robust_rank,protocol,text_variant
LinearSVC_balanced,0.7685159259417578,0.7670005846789847,0.6843794093185026,0.006074714291598182,0.006391494259089531,0.018273020534424235,0.7344067169136238,1,nested_cv,raw
LogReg_balanced,0.7248855079519281,0.7298264925233834,0.7088810030472043,0.0038613863964661733,0.0033673077430091554,0.01281252296088309,0.719966001361475,2,nested_cv,raw
LinearSVC_plain,0.7578615796241003,0.7539045816278138,0.6590201975258135,0.008143563114852245,0.0077895174332725066,0.026159121699991825,0.7171379273858995,3,nested_cv,raw
LogReg_plain,0.7539811124865529,0.7488790311817409,0.6300508748000494,0.013695255117364004,0.013481580642096253,0.034486448815647705,0.7028783930205079,4,nested_cv,raw
LinearSVC_balanced,0.6921750176586811,0.6919028343599601,0.5978828035133615,0.02056699598007744,0.0206270365699963,0.02719815219618334,0.654376477010937,1,nested_cv,masked
LogReg_balanced,0.634042072802193,0.6411656942831478,0.6316471773999685,0.01331587685910798,0.013136336920717256,0.01782026223386106,0.6352212010855897,2,nested_cv,masked
LinearSVC_plain,0.6748862560295247,0.6717798338729987,0.5689440276186088,0.014612452449627505,0.014415523996408594,0.02576883973723284,0.6315774380182005,3,nested_cv,masked
LogReg_plain,0.6747565319870202,0.6704157921052669,0.530149940746918,0.0227084499077737,0.02234144257531448,0.03615684086197865,0.6156116735264534,4,nested_cv,masked
MultinomialNB,0.5453242604103363,0.5661465430209889,0.3503945640433009,0.014490032054792464,0.013413465727868923,0.011194030215656783,0.4735990666467179,5,nested_cv,raw
MultinomialNB,0.49291834907037707,0.5165092850185388,0.31185529310534227,0.01315831138809808,0.011024864683510209,0.014266397059765174,0.42757040746881164,5,nested_cv,masked
