model,f1_macro,recall_macro,critical_recall,delta_vs_baseline_f1,delta_vs_baseline_recall,delta_vs_baseline_critical
baseline_balanced,0.7765775357065817,0.7748794835700702,0.7397260273972602,0.0,0.0,0.0
smote_only,0.7727014528056415,0.7707825435252406,0.7397260273972602,-0.0038760829009402142,-0.004096940044829633,0.0
